,Item,Status,Due by,Completed by,Temp-Notes,Steps To Complete,"Suggested Slack Post Text 
(unless otherwise stated)","Suggested Slack Thread Text 
(unless otherwise stated)",Automation?,Additional Notes
PROD,"Make sure Disallow List was reviewed
(FN, FNE (Creative+UEFN), JUNO, DelMar, Sparks terms)",TODO,Sun Jul 20,,Slack: LINK,"Reference: Term Tracker Sheet

1. Navigate to the #fn-encryptedassets-ext slack channel 
2. Look for the thread containing Datamine Results
   a. Currently by Adam Baxter & Ben Massoglia (Ben to take over in the future)
3. If thread is not present, send a DM to Adam Baxter & Steve Allison asking when that will happen
4. Reminder to confirm that All FN, FNE (Creative+UEFN), JUNO, DelMar, Sparks terms are being checked","Hi @Ben Massoglia, just checking in for CHECKLIST_VERSION readiness. 
Have we confirmed we are all wrapped up and ready to go on the Encrypted Assets front? If not, what is still left to do?
And also - as always -  just confirming All FN, FNE (Creative+UEFN), JUNO, DelMar, Sparks terms are being checked.
:ty: in advance! ",,,
,By Cert Submission:	,IN PROGRESS,,,,,,,,
PROD,"Confirm the final loc commit job successfully makes it into P4

Need to ask for:
- Fortnite
- UEFN
- Lego
- Festival
- Rocket Racing",TODO,Sat Jul 19,,Slack: LINK,"1. Navigate to the  #fn-release-loc slack channel 
2. Look for the thread around Final Loc Import and tag in the LOC POCs for all of the live products (currently FN, UEFN, Festival, Rocket Racing & Lego)
   a. FN is Kevin Shen UEFN is Abdul Alenezi, Festival, RR, Lego are Liza Grebenshchikova
3. If not already stated when its coming in (or past that date), poke the thread using the suggested text in Column H","Hi @loc-fn-producers @Abdul Alenezi just want to confirm the final loc commit job for CHECKLIST_VERSION is on track for all products.

Will that be delivered tonight by tonight?",,,
,Preparation,,,,,,,,,
,Item,Status,Due by,Completed by,Temp-Notes,Steps To Complete,"Suggested Slack Post Text 
(unless otherwise stated)","Suggested Slack Thread Text 
(unless otherwise stated)",,
,By Branch:	,IN PROGRESS,,,,,,,,
PROD,Replacing template text in this checklist,TODO,Thu Jul 10,,"This step should eliminate needing to change MOST template text in any pathing or messaging templates

OPTIONAL: Alex Will Do This If You Don't Want To","1. Click Cell A1
2. Press Ctrl+F > push the 3 dots
3. Find the string ""CHECKLIST_VERSION"" and replace it with the real value
   a. ex. Find: CHECKLIST_VERSION          Replace with 32.00
          ^Checklist dot Version^
4. Select the ""Replace All"" button to swap all instances
4. Repeat steps 3-4 by replacing PREVIOUS_VERSION with 31.40
                                        ^Previous Version^
5. Repeat steps 3-4 by replacing CHECKLIST-VERSION with 32-00 
                                            ^Checklist dash Version^
6. Repeat steps 3-4 by replacing NEXT_VERSION with 32.10
                                             ^Next Version^
7. Repeat steps 3-4 by replacing NEXT_MAJOR_VERSION with 33.00
                                    ^Next Major Version (.00)^

You will know it worked if all red text in this cell/sheet has been updated to the set values",,,,
PROD,Add this sheet's ID to the Workato checklist sheet,TODO,Thu Jul 10,,This step enables a workato recipe to automatically comb this sheet for steps that are due today or late and post them to the embedded release channel to follow up on,"1. Open the Active Release Checklists
2. If a prior checklist is complete, remove it
3. Add this sheet ID to a new row (this will be everything after docs.google.com/spreadsheets/d/ and before /edit?gid=1048475786#gid=1048475786
4. If the A and B columns are missing use the fill handle from a different row to complete their formulas
5. If you see any #REF errors, click to see if the B column cell needs access allowed and select allow",,,,
PROD,Create fn-release-CHECKLIST-VERSION-ext Slack channel and invite groups/users listed in Columns H/I,TODO,Thu Jul 17,,"Slack Channel: LINK

IT Request: LINK
","1. Create a new slack channel using the naming format ""fn-release-CHECKLIST-VERSION-ext""
   a. Type /channel and press enter to bring up the window
   b. Select fn for the prefix
   c. Channel name = 
release-CHECKLIST-VERSION
   d. Check Allow Non-Employees In the Channel 
   e. Skip Invite Users & Topic for now
   f. Description = Coordination Channel for the CHECKLIST_VERSION Release
   g. Result should look like: fn-release-CHECKLIST-VERSION-ext
2. Add the people in columns H and I
   a. Cross reference with This List from Frima to ensure the list in column I is up to date. If not, please update it accordingly
3. Create an IT request to add the 'Fortnite External QA' workspace
   a. Send a message to it-helpdesk with the following message:

Hello there, can I please have the `Fortnite External QA` Workspace added to the newly created #fn-release-CHECKLIST-VERSION-ext channel?
@Andrew Lucas for vis on this request
Thanks in advance!","Internal Friends To Add

(can add all at once, may have to manually adjust the red ones by clicking on them and selecting the intended alias))
----------------------------------------------------------------------

@release team
@release qa
@fn-perfprod 
@community_swat
@greg.garnhart
@tristan.hardy
@fn-buildhealthqa
@liveqa
@eric.day
@lusine.davtyan
@sarah.shannon
@competitive ops
@alec.shobin
@paris.nourmohammadi
@Michael Micholic
@chris.etuk
@fn-calendar-owners
@epic-liveops
@ben constable
","External friends need to be added with the '/user add @username' command 
(These are all Frima folks)

NOTE: 
    copy/pasting this list may not work. 
    If not, add one by one (up to 15 at a time)
----------------------------------------------------------------------
Batch 1
@alison.mckenzie @amanda.perry @Ben.Massoglia @Francois.Guimond @Haley.Nelson @mathew bender @matthew.geisen  @Michael.Krkuc @Scott.Sevon @steve taylor @connor allen


Batch 2 - Frima
@Abner Herrera @Alain Du @Alex St-Louis @Alexandre Seguin @Annick Dunn @Anthony Lamoureux @Camille Dion-Bolduc @Ciro Ivan Bolado-Palomo @Danick Carpenter  @David Savard @Dominik Luissier-Marcott @Edson Goncalves @Felix Bernier @Francis Langlais 

Batch 3 - Frima
@Guillaume Aube  @JeanGabryel Caron  @Jean-Simon Racine  @Katheryne Bergeron @Laurie Bernard  @Maryeve Boivin  @Mathieu Chamberland  @Mathieu Roy @Maxime Vaillancourt @Murat Balaban  @Olivier Bolduc @Olivier Levesque  @Pierre Ung

Batch 4 - Frima
@Remi Senechal @Ricardo Bourgoin-Beaulieu  @Rodrigo Cordova @Samuel Carrier @Steven Comeau @Virginie Gaudreault  @Alexandre Ould-Hamouda  @Alexandre  Turgeon @Camille Gendreau  @Charles Rheaume  @Dominic Charron  @Eric Morneau Lepine @Genevieve Bolduc @Antoine Terrienne


Batch 5 - Frima
@Ismael De Souza @Marc Cossette @Mathieu Audet  @Maxime Zobenbueler  @Remi Lavertu @Mathieu Roy Lortie @Caleb Tremblay @Alisson Silva @Jérémi Labbé  @Gustavo Totoy @Marc-Antoine Ledoux @MarieLee Bergeron @Julie Sanschagrin @Andre Andre Marier @Hugo Mckie




",Maybe?,
PROD,Create Release Request,TODO,Thu Jul 17,,JIRA Ticket: LINK,"1. Go to the Release Ticket Template
2. More > Clone
3. Change name to:
[FN] CHECKLIST_VERSION Release
4. Put the name+link to the ticket in cell F3
5. Set Fix Version to CHECKLIST_VERSION",,,Yes,
PROD,Create Release JIRA Dashboard,TODO,Thu Jul 17,,Dashboard: LINK,"1. Go to the Release Dashboard Template
2. Go to the ""..."" on the top right and Copy Dashboard
3. Change name to:
CHECKLIST_VERSION Release Dashboard
4. Set ""Add Viewers: Group to Any Logged In User and press +Add
5. Set ""Add Editors"" to the AD-Jira-FNRM Group +Add
6. When complete, Press Add at the bottom
7. Go to the bottom of the dashboard to the 2 Controller Widgets
   a. Set the RED Affect Version & BLUE Fix Version to the CHECKLIST_VERSION (there are duplicate entries but they are all the same so just select 1)
8. Add the Burndown chart using the steps in column H","Steps for adding Release Burndown Chart:
----------------------------------------------------------------------

1. Go to the Release Burndown Template Tab > Duplicate and rename
2. Add Branch Open Date (C2) using the FN Release Schedule Sheet (row 16)
3. Adjust the other milestone gates (column A) to thier corresponding rows for their dates using the FN Release Schedule Sheet 
4. In the ReleaseList Tab, copy cells B3/B4 and paste into B2 
   a. If B2 is currently set to a version that has NOT been deployed, DO NOT OVERWRITE IT. 
5. Edit the title of the graph to this checklist's version tab (double click text)
   a. 3 vertical dots on graph > Publish > Link tab > copy link
6. Go back to this checklist's version Dashboard > JIRA Burndown > 3 horizontal dots > Paste in External Page Link",,Maybe?,
PROD,Generate Release Controller Permalink,TODO,Thu Jul 17,,,"1. Navigate to the seasonal dashboard created in the above step
2. Set the Richfilter Controller Fix Version and Affects Version to the current release version
3. Create the Permalink
    a. From Controller (bottom right widget) with ""..."" > ""Generate Permalink"" > Right Click & Copy Link
4. Go to Rebrandly > New Link > Paste Permalink > Leave Branded Domain > Set Signature slug to Release Version
    a. Final should look like epic.gm/28-10",,,,
PROD,Set Slack channel Topic to Release Manager and Dashboard Link,TODO,Thu Jul 17,,,"1. Go to fn-release-CHECKLIST-VERSION-ext channel
2. Select the channel name at the top
3. Enter the suggested text in Column H in the Topic Section
   a. Person 1/2 are row 22 of the FN Schedule Sheet
4. Attach the permalink generated in the prior step",@release-embedded | Dashboard: epic.gm/CHECKLIST-VERSION | Hotfix Req epic.gm/Hotfix ~ Email `release-team-oncall` to page after office hours; http://epic.gm/TeamInfo,,,
PROD,Setup Release Dashboard's Top Widget,TODO,Thu Jul 17,,Dashboard: LINK,"1. In the Dashboard, mouse over the Schedule section > ""..."" > Edit
2. Using the template in column H, replace the red text with the appropriate info
   a. RM owners from the Release Schedule
   b. Game Config from tab's link
   c. Copy slack channel's link","<div class=""left"">
<h3>Release Schedules</h3>
<ul>
<li>
  <strong>Google Sheets:</strong>
  <a href=""https://docs.google.com/spreadsheets/d/11P9U3a6TDH-u8mR6ynIKFpqGKaMxSe-NbvfAmt42iIY/edit?gid=2068775089/"" target=""_blank"">FN Release Schedule </a></li>
<li>
  <strong>Air Table:</strong>  
  <a href=""https://airtable.com/appTMZnv3FFYvaEf5/pagXaUnRze2SaaSDS/"" target=""_blank"">Milestone Calendar </a></li>
<li>
  <strong>Google Calendar:</strong>
  <a href=""https://calendar.google.com/calendar?cid=ZXBpY2dhbWVzLmNvbV84ZXIzOG1oZXV1djFzZXEyNzltNmg0dmQ3OEBncm91cC5jYWxlbmRhci5nb29nbGUuY29t"" target=""_blank""> Add To My Google Calendar</a></li>
</ul></div>

<div class=""right"">
<ul>
<li>
   <strong>Schedule:</strong>
   <a target=""_blank"" href=""https://docs.google.com/spreadsheets/d/11P9U3a6TDH-u8mR6ynIKFpqGKaMxSe-NbvfAmt42iIY/"">Roadmap &amp; Release Schedule</a></li>
<li>
   <strong>Roadmap:</strong>
   <a target=""_blank"" href=""https://airtable.com/appachk0WfaFrftUG/paguCjFwcolH7Q2ye"">Deliverables Roadmap</a></li>
<li>
   <strong>Game Config:</strong>
   <a href=""https://docs.google.com/spreadsheets/d/1w5PQcnciR-lbbU6H6m0aaqgiFWNRbttSr7uEoCmKUzk/edit#gid=XXXXXXX"" target=""_blank"">Hotfix Game Config Tracking</a>
</li>
<li>
  <strong>Slack:</strong>
  <a href=""https://epicgames.slack.com/archives/XXXXXXXX"" target=""_blank""> #fn-release-CHECKLIST-VERSION-ext</a>
</li>

<div><font color=""red""><b>First time viewing dashboard and numbers are large: </b></font>Scroll down to bottom and update FixVersion and AffectsVersion to desired release. It will save the cookies for next view. </div>
</ul></div>

<style type=""text/css"">
table {margin-left:20px;}
div.left{float:left}
div.right{margin-left:350px}
li {padding-bottom: 5px;}
.tg  {border-collapse:collapse;border-spacing:0;border-color:#ccc;}
.tg td{font-family:Arial, sans-serif;font-size:14px;padding:10px 5px;border-style:solid;border-width:1px;overflow:hidden;word-break:normal;border-color:#ccc;color:#333;background-color:#fff;}
.tg th{font-family:Arial, sans-serif;font-size:14px;font-weight:normal;padding:10px 5px;border-style:solid;border-width:1px;overflow:hidden;word-break:normal;border-color:#ccc;color:#333;background-color:#f0f0f0;}
.tg .header{font-weight:bold;background-color:#f0f0f0;border-color:inherit;text-align:center;vertical-align:top}
.tg .data{border-color:inherit;vertical-align:top}
</style>",,Maybe?,
PROD,"Cross check Fortnite Release Calendar below dates are accurate for all versions from this checklist's season and the following season found in the FN Release Schedule and populated from the Air Table

   - Row 16: Branch Opening
   - Row 17: Development Complete
   - Row 18: Hard Lock
   - Row 19: Pencils Down
   - Row 20: Cert Sub
   - Row 5: Live
   - Row 5 of next column(s): HF(s) Live",TODO,Thu Jul 17,,Alternate AirTable Link,"1. Go to the FN Release Schedule to get the dates
2. Go to Google Calendar and search for CHECKLIST_VERSION
3. Ensure the dates from the Release Schedule are present in Google Calendar (This is driven by AirTable Automation)
   a. If there are any discrepancies, flag it to the release management team",,,Yes,
PROD,Create a Jira for BR Calendar/Store/Shop to be update/reviewed ,TODO,Thu Jul 17,,JIRA Ticket: LINK,"1. Go to the JIRA Template
2. Move > Clone
3. Rename ticket in the format: 
|Shop| Verify ROW Store/Calendar (BR) for [CHECKLIST_VERSION] Deploy Scheduled for [MM/DD]
4. Add as ""Watchers"" and CC the following in the comments (copy below and paste in TEXT vs VISUAL)
*CC:* [~juan.romero] [~nick.owens] [~steve.allison] [~amanda.perry] [~matthew.geisen] [~alison.mckenzie]
5. Set Fix Version to CHECKLIST_VERSION",,,Yes,
PROD,"Verify BranchFoundIn in JIRA is already populated for CHECKLIST_VERSION
if not, request it be done in #fn-jira-admins-ext",TODO,Thu Jul 17,,Slack: LINK,"1. Go to JIRA > Create (blue button at top)
2. Look for BranchFoundIn
3. Type in Release-CHECKLIST_VERSION 
   a. If it is present, you are done. If not, go to step 4.
4. Spin up a post in #fn-jira-admins-ext using the suggested text in Column H","Hello JIRA Admins, 
Could you please add `Release-CHECKLIST_VERSION` as an option in the BranchFoundIn dropdown?
Thanks in advance!",,Maybe?,
PROD,Schedule Google Calendar Meeting: Stability Sync,TODO,Thu Jul 17,,Calendar Event: LINK,"1. Go to the Google Calendar
2. Search for Stability Sync and go to the previous release's event
3. Duplicate the card and update the following:
   a. Event Title (Set to correct version)
   b. Date (set to 10am the morning of release date)
   c. Zoom Meeting (remove and add a new one to account for duping even wonkiness)
4. If not already on the previous event when duping. ensure the following people/groups are added:
   a. Chris Tran, Alex Ruse, Tyler Buczek, Jay Chaney
   b. fn-tech-production
   c. Release-Team
   d. ReleaseQA",,,Yes,
PROD,Schedule Google Calendar Meeting: Post Mortem,TODO,Thu Jul 17,,"Calendar Event: LINK

Post Mortem Sheet: LINK","1. Go to the Google Calendar
2. Search for Post Mortem and go to the previous release's event
3. Duplicate the card and update the following:
   a. Event Title (Set to correct version)
   b. Date (set to the Thursday following the release date)
   c. Zoom Meeting Use this - the link to our shared zoom where we will use the RQA break out room
   d. Post Mortem Sheet Link (set to applicable tab - If not created, make the tab)
4. If not already on the previous event when duping, ensure the following groups are added:
   a. fn-release
   b. Release-Team (embedded in the 4a. group)
   c. liveqa@epicgames.com",,,Yes,
PROD,"Schedule Calendar Events:
- Hard Lock 
- Pencils Down ",TODO,Thu Jul 17,,,"1. Go to the Google Calendar
2. Search for Hard Lock and go to the previous release's event (should be at 8PM ET)
3. Duplicate the card and update the following:
   a. Event Title (Set to correct version)
4. Repeat steps 2-3 for the Pencils Down calendar event.",,,Yes,
PROD,"Determine Deploy Time with the below teams:

- Live Ops
- Competitive
- Publishing/Marketing",TODO,Thu Jul 17,,"Deploy Types and Times:

Season Release time of `2:00am ET`
Dot Release time of `4:00am ET`

Unforced Emergency Patches: 8:00am ET

Slack: LINK","1. Spin up a post in the fn-release-CHECKLIST-VERSION-ext channel using the suggested text in Column H/I


2. Once agreed upon, Bold+Underline the selected time in column F to easily identify what we settled on without having to go back to the thread",Deploy Time Alignment for 34.10 on Mon Jul 21 :thread:,"Hello @release-team @releaseqa @competitive-ops @epic-liveops @alec.shobin @Paris.Nourmohammadi

Just wanted to get everyone together to align on the deploy time for CHECKLIST_VERSION.

Any objections to going with our usual INSERT_TEXT_FROM_COL_F?",Yes,
,By Hard Lock: ,#N/A,,,,,,,,
PROD,"For XX.00 Deploys Only:

Reminder messaging for seasonal Hotfix clean up",TODO,Thu Jul 17,,Slack: LINK,1. Spin up a post in the fn-release-CHECKLIST-VERSION-ext channel using the suggested text in Column H/I,"Seasonal Hotfix Cleanup reminder for Release-CHECKLIST_VERSION
Please respond by the end of day, {Day}, {Date} 5:00PM EST, if you have hotfix syntax that needs to persist and cannot be baked in. If not, your syntax may get wiped after the clean up.


(Timing in the above messaging should align with first whiteglove?)","It's time to cleanup the hotfix files with a new season release. This is to maintain a clean and minimal list of changes in the files. 

Teams should be proactively baking in their changes release over release and requesting clean ups in the game config sheet. Unfortunately, this does not always happen, and leaves a lot of stale changes and bloat that is no longer needed.

If there are any specific changes that must be kept, please let us know so that we can flag as DO NOT PURGE in the hotfix files ;(DNP).

Thanks in advance to all that do regularly bake in and request removals. This is very much appreciated.
",Yes,
PROD,"Send Release Strategy email

Confluence Wiki (need to merge all the things) 

Wiki on creating the meeting calendar event

Template (if not copied from a previous email)",TODO,Fri Jul 18,,,"1. Search your email for ""Release Strategy"" and go to a previous release's email
2. Copy a previous email's TO:. Subject and Body (either a .00 if this checklist is a .00 or a .10/.20.30 if not) and update the following
   a. Version & Expected Release Timing (also confirm if downtime from 4am-5am is applicable)
   b. Cutoff for Deploy Strategy and Hotfix Confirm Items Date (Should be friday noon if tuesday deploy)
3. Send Email","TO: 
FN-Release-Updates <fn-release-updates@epicgames.com>

Release Dates:
FN Release Calendar",Replace with Pre-Pop,Yes,
PROD,"Redundancy:
Make sure zoom links are still valid for all meetings related to CHECKLIST_VERSION",TODO,Fri Jul 18,,,"1. Search Google Calendar for the release version and check the below meetings:
   - Stability Sync
   - Post Mortem
2. Click the current zoom link to try to enter as normal. If it works, you are good.
3. If you get an error, kill the current zoom link and make a new one",,,,
PROD,Coordinate Discovery surface and link updates for any new playlists ,TODO,Fri Jul 18,,Slack: LINK,"1. Check the Epic Roadmap for the CHECKLIST_VERSION and identify any new Playlist that may need to be configured
   a. Identify the production owner and potentially the EmbeddedQA associated (if unknown we can ask the production owner to loop in their QA partners)
2. Spin up a thread in the #fn-release-CHECKLIST-VERSION-ext slack channel using the suggested text in column H/I --> 
   a. Tag in the new playlist production owner and embedded QA and ask if they have properly coordinated what is needed for their new playlist. Provide them with the Reference Doc: [Discovery] Releasing New Playlist Checklist      ",CHECKLIST_VERSION  New Playlists Coordination :thread:,"Hello! We are currently tracking new playlists for the following roadmap items for this release:
* PLAYLIST_MODE - @PROD_OWNER
* PLAYLIST_MODE - @PROD_OWNER
* PLAYLIST_MODE - @PROD_OWNER

We need teams to go through the New Playlist Checklist and confirm that everything has been considered is setup prior to our release whitegloves. Production owners please coordinate with your embedded QA teams to confirm everything is functioning as expected.

@release-qa for vis
@release-ops for vis",,
,AFTER 8PM ET HARDLOCK,AFTER 8PM ET HARDLOCK,,,AFTER 8PM ET HARDLOCK,AFTER 8PM ET HARDLOCK,AFTER 8PM ET HARDLOCK,AFTER 8PM ET HARDLOCK,,
,By Pencils Down: 	,IN PROGRESS,,,,,,,,
PROD,"Request Final DAD revision for pre whiteglove

https://epicenter.on.epicgames.com/?tools=all


For reference: https://epicgames.slack.com/archives/C08DLJG51L7/p1742565116008119",TODO,Sat Jul 19,,Slack: LINK,"1. Go to the #fn-release-CHECKLIST-VERSION-ext and spin up a post using the suggest text in Columns H/I
   a. Check the FN Release Schedule or Fortnite Release Calendar for the cert date
2. After links have been provided, add them to the Game Config Sheet, for all links provided
3. Ensure that RQA is able to receive the DOT revisions prior to the weekend so weekend testing can be done by external QA teams",:dad:CHECKLIST_VERSION Final DOT Revisions:dad: ,"Hello there @Connor Allen
@Paul.Odenwaldt


Checking in on final revision delivery prior to going live on INSERT_DEPLOY_DAYnDATE

As a heads up, we will be starting pre-cert checks this weekend and would like the revisions to be in place ahead of that testing if possible. 

We go to cert on INSERT_CERT_DAY :)

@releaseqa for viz",Yes,
PROD,"1st touchpoint with Calendar owners

Typically you get sign off from all but BR (Shop & Non-Shop)",TODO,Sat Jul 19,,Slack: LINK,"0. Ensure the people in column I are invited to the slack channel
1. Go to the #fn-release-CHECKLIST-VERSION-ext and spin up a post using the suggested text in Columns H/I
2. Get confirmation from each calendar owner area",:calendar: Calendar Updates for CHECKLIST_VERSION,"Just checking in on our calendar promotions prior to going live on INSERT_ReleaseDayandDATE. As a reminder downtime will begin for INSERT_BranchVersion at INSERT_DowntimeStartTime. Please keep that in mind as you setup and calendars that should go live at light switch up.

As a heads up, we will be starting pre-cert checks this weekend and would like the final calendar promotions to be in place before that testing starts, if possible.

:mag_right: Heads-up: We’ll be starting pre-cert testing this weekend, and would ideally like all final calendar promotions in place before testing begins, if possible. We’re targeting cert submission on INSERT_CertDayandDATE.

>:warning: Additional Reminders for Calendar Integrations:
• Remove leak-sensitive data from any calendars checked into the client-events channel. Leakers may have access to this data up to two hours before a scheduled event goes live.
• If your calendar event is set to go live with INSERT_BranchVersion, ensure the start time aligns with the downtime window (INSERT_Downtime ET). Mismatched start times may disrupt internal QA coverage during deployment.

We'll have a follow up check-in with calendar owners closer to deploy, but flagging now to ensure this process is on your radar. 

Thanks in advance!

STW - @Patrick.Malott
BR (Non-Shop) - @DJ.Schilens
BR (Shop) - @Juan.Romero @matthew.geisen @alison.mckenzie @amanda.perry
LTM - @scott.sevon @haley.nelson @michael.krkuc
Juno/Sprout (need confirmation on both) - @Tyler.Yungmann @Keith.Leiker @Jason.Kanagaratnam @Steven.Tarry @Alec.Fisher-Lasky 
Sparks - @Kyle Wynn
DelMar - @lauren.boud",,
,AFTER 8PM ET PENCILS DOWN,AFTER 8PM ET PENCILS DOWN,,,AFTER 8PM ET PENCILS DOWN,AFTER 8PM ET PENCILS DOWN,AFTER 8PM ET PENCILS DOWN,AFTER 8PM ET PENCILS DOWN,,
,Pre-Candidate Build	,,,,,,,,,
,By Cert Submission:	,IN PROGRESS,,,,,,,,
PROD,"Verify Final DOT Links for WG testing are accurate and no changes are expected.


https://epicenter.on.epicgames.com/?tools=all",TODO,Fri Jul 18,,Final Dad CL: 12345,"1. Follow up in the original thread from row 40 using the suggested text in Columns I
",,"Checking in on final revision delivery. 
Anything to update since our last request above? 

We are starting pre-cert checks INSERT_PD_DAY and want to ensure QA is running their :whiteglove-wave: with the most accurate info.

We are still targeting to go to cert on INSERT_CERT_DAY :smiley: ",Maybe?,
