,Item,Status,Due by,Completed by,Temp-Notes,Steps To Complete,"Suggested Slack Post Text 
(unless otherwise stated)","Suggested Slack Thread Text 
(unless otherwise stated)",Automation?,Additional Notes
,Preparation,,,,,,,,,
,Item,Status,Due by,Completed by,Temp-Notes,Steps To Complete,"Suggested Slack Post Text 
(unless otherwise stated)","Suggested Slack Thread Text 
(unless otherwise stated)",,
,By Branch:	,IN PROGRESS,,,,,,,,
OPS,Branching Dates Slack Email Kickoff,TODO,Thu Jul 10,,,"1. Spin up a thread titled "":thread: CHECKLIST_VERSION Branching"" in #buildfarm-support-ext and use the suggested text in column H for the thread messaging
2. Search for previous email (from a similar version number) titled:
""[Branch News]""
2. Copy the formatting into a new email and swap in the appropriate information gleaned from the buildfarm thread","Thread Title:

:thread: CHECKLIST_VERSION Branching! :yesyes:

------------------------------------------------------

Thread Body:

Based on the roadmap:
- Branch Operation/Creation: DAY_DATE from BRANCH
- Branch Opening/Work Cutover (9am ET): DAY_DATE
Sending out initial email NEXT day afternoon for wider knowledge.
@release-team @buildfarmsupport @p4admins @fn-buildhealthqa","Thread Title:

:thread: CHECKLIST_VERSION Branching! :yesyes:

----------------------------------------------------------------------

Hello! It's about that time again.
CHECKLIST_VERSION/Dev-FN-XX Branch Operation is DAY_DATE and officially opens for business DAY_DATE morning per the roadmap.

Based on the roadmap:
Dev-FN-XX
- Branch Operation/Creation: DAY_DATE from BRANCH
- Branch Opening/Work Cutover (9am ET): DAY_DATE

XX.00:
- Branch Operation/Creation: DAY_DATE from BRANCH
- Branch Opening/Work Cutover (9am ET): DAY_DATE

Sending out initial email Tuesday afternoon for wider knowledge.
Will be pushing extra hard on proxy servers. Has there been changes to the proxy server process and is the wiki up to date?
@release-team @buildfarmsupport @p4admins @fn-buildhealthqa",Yes,Replace with Pre-Pop
OPS,Branching Email - Go Ahead and Sync Reply,TODO,Sun Jul 13,,Should be done on the friday the week prior to branch open,"1. Reply to Branch News email with a ""branch is now fully open"" message
2. Search for previous email (from a similar version number) titled:
""[Branch News]""
3. Copy the formatting into a reply to the original email from from row 34 and swap in the appropriate information",see Stan's 30.30 for text,,Yes,Replace with Pre-Pop
OPS,"Branching Email - Branch is now fully open!

AND

Update [Release-Archive-Hardcore] section in lockdown_config.ini",TODO,Thu Jul 17,,,"1. Reply to Branch News email with a ""branch is now fully open"" message
2. Search for previous email (from a similar version number) titled:
""[Branch News]""
3. Copy the formatting into a reply to the original email from from row 34 and swap in the appropriate information
-----
1. Go to this P4 file path
   //Fortnite/Main/FortniteGame/Build/p4lockdown/lockdown_config.ini
2. Check out the file and Open
3. In the file, search for [Release-Archive-Hardcore] 
4. Navigate to the section and ADD the version corresponding to this checklist version:
'-//Fortnite/Release-XX.XX...'
Add it before the -//Fortnite/*/ lines start
5. Save and commit.",,,Yes,Replace with Pre-Pop
OPS,"Ensure ""Time Offset"" is set to the main branches' season start date 

",TODO,Thu Jul 17,SH,"Adjusted offset by XX days 

ONLY RUN IF THIS IS A XX.00 CHECKLIST (otherwise N/A)","1. Go to the below file in p4 > get latest > checkout and open
https://epicenter.on.epicgames.com/fortnite/backends/latest-gamedev
2. Determine the deploy date for NEXT_MAJOR_VERSION (which main is currently representing) in the release calendar or FN Release Schedule
3. Using the built in calculator, calculate the number of days from today till that date
4. Search for the following and swap that value in for the value that is currently set in the file > save
config.com.epicgames.modules.profile.time_offset_days:
5. Click on the days cell on the right to copy to clipboard
6. Update the value on the left window
7. Save

Don't need to kick it in manually as its scheduled to kick every time a main build finishes as well as every hour

8. Check back in TeamCity to ensure the pending change is now a real boy",,,,
OPS,Check that UGS banner is updated to include Release Schedule & JIRA filter link,TODO,Thu Jul 17,,"Commit CL: 12345

Robo Resolve CL: 12345","Check the UGS banner first, there may be no edits needed (need to import the project's .uproject file). See example in cell 20 I  

*Milestone dates have been deprecated, only edit this file if needed 

1. Go to the following file in P4 while in the same workspace
//Fortnite/release-CHECKLIST_VERSION/FortniteGame/Build/UnrealGameSync.ini
2. Get Latest > Checkout and Open 
3. Find the CHECKLIST_VERSION section and update the banner text 
4. Save and commit CL using the submit tool 

You will run into a robomerge conflict. Here is how to resolve that:
1. Use robomerge to make a shelf in the downstream branch of the conflict
2. Unshelve the file in this new pending CL
3. Get latest on the file
4. RC > Resolve
5. Run Merge Tool
6. Scroll down to the conflict (or use the red arrows at the top) and remove the Yellow & Green blocks of text (leaving the blue one). 
7. Save and open the file to ensure the intended changes are there
8. Once satisfied, commit the file, and hit retry on the robomerge blocker to ensure that is resolved correctly.","Updated JIRA Filter Link on UGS banner for CHECKLIST_VERSION
#jira none
#rnx
#fyi stan.hormell","(*be mindful of the branch populated text)

Message=[FN Release Schedule](https://epic.gm/schedule) | [Jira Dashboard](https://epic.gm/CHECKLIST-VERSION) | Branch Cut Over from Dev-FN-34 @ 39512793
StatusPanelColor=#9b49cc",,
OPS,Update DEV-FN-XX MOTD to notify it is being sunset and to stop working in it,TODO,Thu Jul 17,,"Commit CL: 12345

Robo Resolve CL: 12345

Do this checklist item if this checklist is for a version immediately before a XX.00 version (as the Dev-FN-XX branch is no longer valid for work - Since it should be done in the explicit Release-CHECKLIST_VERSION branch)","1. Go to the following file in P4 while in the same workspace
//Fortnite/Dev-FN-XX/FortniteGame/Build/UnrealGameSync.ini
2. Get latest > Checkout and Open
3. Create a pending CL using the suggested P4 Description in Column H -->
4. Scroll to the bottom of file
5. Copy text from column i and overwrite the ""Message=.... text currently in the file""
6. Save and commit CL using the submit tool

You will run into a robomerge conflict. Here is how to resolve that:
1. Use robomerge to make a shelf in the downstream branch of the conflict
2. Unshelve the file in this new pending CL
3. Get latest on the file
4. RC > Resolve
5. Run Merge Tool
6. Scroll down to the conflict (or use the red arrows at the top) and remove the Yellow & Green blocks of text (leaving the blue one). 
7. Save and open the file to ensure the intended changes are there
8. Once satisfied, commit the file, and hit retry on the robomerge blocker to ensure that is resolved correctly.","Updated Dev-FN-XX MOTD to note this branch is no longer valid for work. All work moving forward should be done in CHECKLIST_VERSION
#jira none
#rnx
#fyi stan.hormell","Message=:alert: THIS BRANCH IS NOW DEPRECATED AND SHOULD NOT BE COMMITTED TO MOVING FORWARD! Please commit previously associated work into the new explicit CHECKLIST_VERSION branch. 
StatusPanelColor=#ff0000",,
OPS,Verify UGS MOTD in Main Shows Updated Information,TODO,Thu Jul 17,,Completed by #buildfarm-support-ext - Main is now NEXT_MAJOR_VERSION - Target Release-NEXT_MAJOR_VERSION+ - Branch Creation Date - Branch Open Date,"1. Open UGS
2. Go to the Main Tab (need to import the project's .uproject file)
3. Verify you see the correct information",,,,
OPS,"Enable Scheduled Horde Jobs
",TODO,Thu Jul 17,,Commit CL: 12345,"1. Go to here in P4:
//Fortnite/Main/FortniteGame/Build/Streams/fortnite-release-CHECKLIST_VERSION.stream.json
2. Get Latest & Check out and open file 
3. Create a shelf using the suggested P4 Description in Column H -->
4. Find ""Nightly Build with Build Health""
5. In the ""schedule"" section > change ""enabled"": false to ""enabled"": true
6. Repeat steps 4-5 for:
   a. ""Nightly Data Rebuild""
   b. ""World Partition Build""
   c. ""Juno Limited Build""
   d. ""Export Item Shop"" `nightly-export-item-shop` (Does not need to be enabled on Dev-FN-XX)
   e. ""Build Tests - Weekly""
   f. ""Build Tests - Twice Weekly""
   g. ""Build Tests - Thrice Weekly""
   h. ""Nightly UEFN Data Rebuild""
   i. ""compatlabnightly""
7. Save and commit in P4
8. Send courtesy message in Slack to #buildfarm-support-ext using the suggested P4 Description in Column I -->

If this checklist is for a XX.00 version, also enable these for the Dev-FN-NN branch","Enabling the below jobs for Release-CHECKLIST_VERSION:

- Nightly Build with Build Health, Nightly Data Rebuild, World Partition Build, Juno Limited Build, Export Item Shop, Build Tests - Weekly, Build Tests - Twice Weekly, Build Tests - Thrice Weekly, Nightly UEFN Data Rebuild, CompatLabNightly

#jira none
#rnx
#fyi stan.hormell, swarm-ue-build-reviews","Hi Build Farm, just wanted to inform you that we enabled the below jobs for CECKLIST_VERSION at CL XXXXX.

- Nightly Build with Build Health, Nightly Data Rebuild, World Partition Build, Juno Limited Build, Export Item Shop, Build Tests - Weekly, Build Tests - Twice Weekly, Build Tests - Thrice Weekly, Nightly UEFN Data Rebuild, CompatLabNightly

That's all!",,
OPS,Create Season Run of Show sheet for orchestrating the teams,TODO,Thu Jul 17,,"

ROS Sheet - (also add to Setup/Tracking D3)
ROS Zoom - (also add to Setup/Tracking D4)","Before running through the following, check the season folder to see if the RoS has already been created.
   If so, skip to Step 3

1. Duplicate the Master TEMPLATE
2. Rename to CHECKLIST_VERSION Run of Show & set the deploy date in cell I1
3. Duplicate previous instance(s) of the Run Of Show Calendar Events in the Fortnite Release Team Calendar and set to dates outlined in column B
4. Remove existing zoom link and re-add to ensure they work properly. Add the same zoom link to all instances of the 2 or 3 calendar events as well as adding the link to Cell E1 in the RoS
5. Search the list for anyone that may not be with the company and remove them to avoid bounce back emails
   a. Look for blank profile pics and first.last@epicgames.com OR by searching for the * character and remove those if they don't exist in slack

6. Search google calendar for a previous instance of the Launch Room (previously War Room) calendar event and duplicate it (ensure its set to the Fortnite Release Calendar) and set to the day of deploy. Remove its zoom link and add the same one used for the RoS meetings
   a. Ensure Jamie Domach, Zach Moore & Jonathan Titus Are included
   b. Go to https://epicgames.zoom.us/ and sign into account
      i. Scroll down to the bottom section's Alternative Hosts and add Stan Hormell and Nick Bentham
      ii. Select the Breakout Room pre-assign and click the ""+"" icon 10x and save

7. Go to the Release-CHECKLIST_VERSION slack channel and create a Bookmark Folder titled Run of Show. 
   a. Add a link to the RoS Sheet
   b. Add a link to the Deploy Day Launch Zoom
   c. Add a link to the Deploy Day Launch Zoom Calendar Event
8. Reach out to publishing to let them know the RoS has been created
   a. Currently Paris Nourmohammadi Laura Stone Michael Micholic",":fyi: @Paris Nourmohammadi @Laura Stone @Michael Micholic 

The CHECKLIST_VERSION Run of Show  has been created for both Fortnite & Publishing coordination and links have been added to the Run of Show folder in this channel.
Please let us know if you were planning on tracking work elsewhere as we would like to avoid potential ""thread splitting"" 
:ty: in advance!",,Yes,
OPS,Inform the slack channel of the bookmarked links,TODO,Thu Jul 17,,"Slack: LINK
Links
- Run of Show Sheet
- War/Launch Room Zoom Link
- War/Launch Room Calendar Link","1. Go to fn-release-CHECKLIST-VERSION-ext channel in slack
2. Send message using the suggested text in Column H

If the War/Launch Zoom/Calendar Event doesn't exist, create one and put it in the Run of Show",":announcement-1: Just a heads up for tomorrow: `The Run of Show, Launch Room Zoom & Calendar Invite` links are bookmarked at the top of this channel. :announcement-1: ",,Yes,
OPS,Create Deploy Tracker sheet and bookmark in release channel,TODO,Thu Jul 17,,,"Add as Bookmark to that Release Channel so it is easily visible to everyone. 

Shared drives > Fortnite > Release Management > Post Deploy > Tracker Sheet > Master Deploy Tracker (make a copy, move it to the correct location, and rename)
XX.XX Deploy Tracker (Template): https://docs.google.com/spreadsheets/d/1L6LWocz1lolIWxtQoHjkUuvEzWFTvAb6fPtVOtVPQuY/edit?gid=1420338449#gid=1420338449",,,Maybe?,
,By Hard Lock: ,IN PROGRESS,,,,,,,,
OPS,Set NetCL Version Number,TODO,Fri Jul 18,,Commit CL: 12345,"1. Go to the following file in P4 while in the same workspace
//Fortnite/Release-CHECKLIST_VERSION/Engine/Source/Runtime/Core/Public/Misc/NetworkVersion.h
2. Get latest > Checkout and Open
3. Create a shelf using the suggested P4 Description in Column H -->
4. In the file, search for ENGINE_NET_VERSION (should be line 12 ish)
5. If it is currently 0, set it to the CL of the Last Successful SSB/Nightly Build in Horde
   a. If it is not 0, verify the set CL is the CL of the Last Successful SSB/Nightly Build in Horde
6. Save and commit CL using the submit tool (must be deadended)
7. Verify via Track Change that it did not merge - https://robomerge.epicgames.net/trackchange/#######","Setting NetCL version to CL XXXXXX

#jira none
#okforgithub public
#rnx
#robomerge -Release-NEXT_VERSION
#robomerge FNONLY
#submittool bypass",,,
,AFTER 8PM ET HARDLOCK,AFTER 8PM ET HARDLOCK,,,AFTER 8PM ET HARDLOCK,AFTER 8PM ET HARDLOCK,AFTER 8PM ET HARDLOCK,AFTER 8PM ET HARDLOCK,,
OPS,Add Temporary Allowlisters to lockdown file,TODO,Fri Jul 18,,"Check Release's Hard Lock Calendar invite for additional instructions

Commit CL: 12345

Slack: LINK","1. Go to Allowlister Sheet and go to the appropriate release tab.
2. Copy names from Cell F2 at step 7.
3. Go to this P4 file path
//Fortnite/Main/FortniteGame/Build/p4lockdown/lockdown_config.ini
4. Check out the file and Open. For the description, use the suggested text in Column H -->
5. In the file, search for [ReleaseA-Lockdown-Hardcore] and [ReleaseB-Lockdown-Hardcore]
6. Determine which list is setup for the upcoming release. If neither are, replace the older release with CHECKLIST_VERSION (See Step 2)
7. Paste the allowlisted names from step 2 after Stan.Hormell (ensure comma placement is retained).
8. Save and commit.
9. Post a message in the #fn-Release-CHECKLIST-VERSION-ext channel using the suggested text in column I","Adding Temporary Allow Listers & HardLocking CHECKLIST_VERSION

#jira none 
#rnx ",":announcement-1: CHECKLIST_VERSION is now Hardlocked and temporary allowlisted permissions have been set :lock: -- 
Please submit all changes through the Submit Tool using the standard integration process.",,
OPS,Update MOTD in UGS for Hardlock,TODO,Fri Jul 18,,"Commit CL: 12345

Conflict Resolve CL: 678910","1. Go to the following file in P4 while in the same workspace
//Fortnite/Release-CHECKLIST_VERSION/FortniteGame/Build/UnrealGameSync.ini
2. Get Latest > Checkout and Open
3. Find the CHECKLIST_VERSION section and update the banner text 
4. Save and commit CL using the submit tool

Resolving the robo conflict:
   1. Remove the conflicting yellow and green lines for the text your just changed. 
   2. Keep the blue text which should be exactly what you just updated in the checklist branch
   3. Save and commit","Updated MOTD in UGS for CHECKLIST_VERSION Hard Lock
#jira none
#rnx","(*be mindful of the branch populated text)

Message=:alert: THIS BRANCH IS NOW HARD LOCKED. Refer to [Branching, Lockdown, Integrations](https://epic.gm/lockdown) to submit changes | [FN Release Schedule](https://epic.gm/schedule) | [Jira Dashboard](https://epic.gm/CHECKLIST-VERSION) Branched Populated from Dev-FN-34 @ 38800603
StatusPanelColor=#e20000",,
,By Pencils Down: 	,IN PROGRESS,,,,,,,,
OPS,Update the metastream UE robomerge connection to point to NEXT_VERSION,TODO,Sat Jul 19,,Slack: LINK,"1. Go to the Robomerge Bot Setup 
2. Look to see if //UE5/Dev-Release is pointing to NEXT_VERSION
   a. if yes, DONE the check
   b. if no, go to #epic-release-managers-ext and post using the suggested text in Column H","@Marc Audy @release-team 
CHECKLIST_VERSION has been hardlocked :lock:
Please update the metastream UE robomerge connection to the next FN release if that applies in this case.",,,
OPS,Verify NetCL was set correctly and did not merge,TODO,Mon Jul 21,,Robomerge Track Change Link: ,"1. Open Robomerge Track Change and input the CL from HERE
   a. if the change did not merge, we are good
   b. if the change DID merge, WHAT ARE THE NEXT STEPS HERE??
   c. if someone forgot to add the commit CL to the original task (shame on them and), run through the steps HERE",,,,
OPS,Ensure code only builds are working properly including verification it can be successfully promoted,TODO,Thu Jul 17,,"Code Only Build: LINK

++CL: 123456

Android Promotion to ReleaseStaging: LINK

All Platform Promotion Job: LINK

Link(s) to Error/Warning Thread(s):
   - Link 1
   - Link 2

Be sure to include iOS for build and promotion steps","PART 1:
1. Navigate to //Fortnite/Release-CHECKLIST_VERSION's Builds tab in HORDE
2. Copy the CL of the last passing build
3. New Job > Minimal Code Only Build
4. Set the Base Change to the last passing build you copied
5. Set the Change CL to a green incremental's CL
6. Go to the Advanced Tab and in the JOB NAME input: 
CHECKLIST_VERSION MCO Creation TEST
7. Start Job
   a. escalate errors/warnings to #fn-build-health-ext or #buildfarm-support-ext (if applicable) for fixes
8. Once complete, move onto the next part where we will promote Android to FortniteReleaseStage

PART 2:
1. Copy the ++CL from the above job and go to THIS link (which will retain all the necessary setup parameters) > Select JOB > RUN AGAIN
   a. Remove the CL from the CHANGE field
   b. Remove the ++CL from the BUILD VERSION and paste in the correct one from part 1
   c. Go to the Advanced Tab and in the JOB NAME input: 
CHECKLIST_VERSION MCO Android Promotion TEST
2. Start Job
   a. escalate errors/warnings to #fn-build-health-ext or #buildfarm-support-ext (if applicable) for fixes
3. Once complete, move onto the final part where we will promote All Clients to a test backend

PART 3:
1. Reach out to RQA or the Apps Team Reps on RM (currently Keaton Stewart Edwin Maynard) to see which backend to promote to for this test.
   a. If RQA is not in the loop, make a post in the fn-release-team channel informing them you are doing this test using the suggested text in Column I
2. Once you have an approved backend, Copy the ++CL from part 1 and go to THIS link (which will retain all the necessary setup parameters)  > Select JOB > RUN AGAIN
   a. The link above contains all platforms. If a platform failed to build in part 1, unselect it from the PROMOTE PLATFORMS field
3. Repeat Step 1 from Part 2 with the addition of 
   a. Select the approved backend to deploy to from the TO APP NAME dropdown
   b. Go to the Advanced Tab and in the JOB NAME input: 
CHECKLIST_VERSION MCO All Client Promotion TEST
4. Start Job
   a. escalate errors/warnings to #fn-build-health-ext or #buildfarm-support-ext (if applicable) for fixes
5. Once testing is complete, follow up with the person who gave you the backend to see if you need to rollback/revert your changes to restore it to its previous configuration",Need to see examples to create escalation,"Hello friends!

Just wanted to give you a heads up that I will be promoting a minimum code only build to `INSERT_APPROVED_BACKEND` as part of our release checklist. 

Please let me know if you have any questions or concerns. ",,
OPS,Lock the DAD CL,TODO,Sat Jul 19,,Slack: LINK,"1. Go to the Data Asset Directory and select CHECKLIST_VERSION
2. Click on the newest (top of the list) CL's Blue Lock button which will turn it red and unlocked (yes it seems backwards) as well as the CL turning green
3. Once complete, spin up a post in #fn-release-CHECKLIST-VERSION-ext using the suggested text in Column H",:announcement-1: RM has locked the DAD for CHECKLIST_VERSION to CL XXXXX :lock:,,,
OPS,Ensure Modes & Tags are setup in DS Portal for Release QA Whiteglove,TODO,Sat Jul 19,,Slack: LINK,"Release Configs for Modes and Tags are now found in GitHub (via Deckard-Config). Check if the Release version folder has been created. If it's not present, request that the DS team create the configs.

1. Go to #ds-support-ext channel
2. Post the suggested request message (found in Column H, Slack Message 1) to request the setup of Tags and Modes configurations for the upcoming release.
3. Wait for confirmation that the configurations have been added to DSPortal.
4. Once confirmed, send a message to #fn-release-team using the suggested text in Column H, Slack Message 2 to inform them of the update.","Slack Message 1:
Hi DS. 
We need to set up the configuration for Modes and Tags in DSPortal in preparation for Release QA Whiteglove for the upcoming (RELEASE VERSION) release.

Slack Message 2:
:announcement-1: Just a heads up, we have set up (RELEASE VERSION) Modes & Tags in DSPortal in preparation of WhiteGloves on the weekend.",,,"Must be done before PD, ideally the day of PD. "
,,AFTER 8PM ET PENCILS DOWN,,,AFTER 8PM ET PENCILS DOWN,AFTER 8PM ET PENCILS DOWN,AFTER 8PM ET PENCILS DOWN,AFTER 8PM ET PENCILS DOWN,,
OPS,Remove Temporary Allow Listed - 8PM ET,TODO,Sat Jul 19,,"Commit CL: 12345

Slack: LINK","1. Go to this P4 file path
   //Fortnite/Main/FortniteGame/Build/p4lockdown/lockdown_config.ini
2. Check out the file and Open. For the description, use the suggested text in Column H -->
3. In the file, search for [ReleaseA-Lockdown-Hardcore] and [ReleaseB-Lockdown-Hardcore]
4. Find the list that corresponds to CHECKLIST_VERSION
5. Delete the names that come after Stan.Hormell (ensure there is no comma after Stans name).
6. Navigate to the [Release-Archive-Hardcore] section and remove the version corresponding to this checklist
7. Save and commit.
8. Post in the #fn-Release-CHECKLIST-VERSION-ext Slack Channel using the suggested text in column I","1. Removing Temporary Allow Listers for CHECKLIST_VERSION Pencils Down
2. Removing CHECKLIST_VERSION from [Release-Archive-Hardcore]

#jira none 
#rnx ",":announcement-1: CHECKLIST_VERSION is now Pencils Down and temporary allowlisted permissions have been revoked:pencilsdown: --
Everyone must now submit any changes through the Submit Tool using the standard integration process.",,
OPS,Enable Robomerge Gate - 8PM ET,TODO,Sat Jul 19,,"Commit CL: 12345

This will create a post in the integrations channel if someone attempts to robomerge a change up to the Pencils Down branch","1. Go to this P4 file path
   //GamePlugins/Main/Programs/RoboMerge/data/fortnite.branchmap.json
2. Check out the file and Open. For the description, use the suggested text in Column H -->
3. In the file, search for EDGES
4. Set ""from"" to NEXT_VERSION
5. Set ""to"" to the CHECKLIST_VERSION
6. Use the Robomerge preview feature to ensure that there are no parsing issues (right click the pending CL in p4v and choose Robomerge Preview Graph from UE Toolbox) eg. https://robomerge.epicgames.net/preview/33192043
7. Save and commit. [example]","Adding CHECKLIST_VERSION <~~ NEXT_VERSION Robomerge Gate Alert

#jira none
#rnx
#fyi stan.hormell, swarm-ue-build-reviews",,,
OPS,Move Festival CMS job to the next Release,TODO,Sat Jul 19,,,"Update the Scheduled builds and move the `update-local-cms` to the next release. This job should only be running in one branch at a time. 
[Thread]

1. Checkout and open //Fortnite/Main/FortniteGame/Build/Streams/fortnite-release-CHECKLIST_VERSION.stream.json
2. Set the schedule to false for ""Update local CMS data""
3. Checkout and open //Fortnite/Main/FortniteGame/Build/Streams/fortnite-release-NEXT_VERSION.stream.json
4. Set the schedule to true for ""Update local CMS data""","Disabling update-local-cms schedule in CHECKLIST_VERSION, and enabling in NEXT_VERSION

#jira none
#rnx
#fyi stan.hormell, swarm-ue-build-reviews",,,
,Pre-Candidate Build	,,,,,,,,,
,By Cert Submission:	,IN PROGRESS,,,,,,,,
OPS,Identify team for release day and update Release Request,TODO,Sat Jul 19,,"Slack Links:

LiveOps
ReleaseQA
Community
Tech Console","1. Message the below groups using the suggested text in Column H.
   a. LiveOps
   b. ReleaseQA
   c. Community
   d. Release Management - Row 24
   e. Tech Console","Hey INSERT_GROUP Team!
Who is your representative for the upcoming CHECKLIST_VERSION release? 
Once you know, please add the name(s) to the corresponding place in the `People On Duty` section of REAL-1234 's description.
:ty: in advance!","Release Managers:

Hey PERSON_LISTED_IN_SHEET:
You all good to own the upcoming CHECKLIST_VERSION release? Looks like you are on the FN Release Schedule for it. If so, I'll make sure to get you added to our REAL-XXX ticket for tracking. Thanks!",Yes,
OPS,Kick Cert Build,TODO,Sat Jul 19,,"Last Committed CL: 12345
WPB CL: 12345
NDR CL: 12345
Nightly CL: 12345","1. Commit remaining changes
2. Ensure World Partition Build & Nightly Data Rebuild jobs have been kicked at a CL AFTER the last committed change
   a. If they kicked too early, cancel and rekick using their templates
   b. Make sure the canceled jobs have completed before kicking the new jobs or issues can arise
3. Ensure both jobs complete with no issues
   a. if errors/warnings, escalate (WPB - Sebastian Lussier, NDR - INSERT)
4. Kick Nightly build at a CL AFTER the 2 above jobs",,,,
OPS,Update Scheduled Builds. SSB Current and Next,TODO,Sat Jul 19,,"Commit CL: 12345

Slack: LINK


Nightly is generally Cert build. This action to disable branch SSB should occur by EOD before Cert. We've seen that the SBB can stomp builds if we had critical rebuilds needed on Cert Sub day.","Wiki: https://confluence.it.epicgames.com/display/FORT/Enabling+and+Disabling+Scheduled+Horde+Builds
1. Go to here in P4:
//Fortnite/Main/FortniteGame/Build/Streams/fortnite-release-CHECKLIST_VERSION.stream.json
2. Select this file as well as the 2 .json files for the following 2 branch versions
3. Check out and open file 
4. Create a shelf using the suggested P4 Description in Column H -->
5. Find:
Scheduled Standard Build with Build Health
6 In the """"schedule"""" section, change """"enabled"""": true  to """"enabled"""": false 
7. Save and commit in P4
8. Send courtesy message in Slack to #buildfarm-support-ext using the suggested P4 Description in Column I -->","Disabling Scheduled Standard Build job for Release-CHECKLIST_VERSION
Enabling Scheduled Standard Build job for Release-NEXT_VERSION & Release-NEXT+1_VERSION

#jira none
#rnx
#fyi stan.hormell, swarm-ue-build-reviews","Hi Build Farm!
Just wanted to inform you that we disabled the Scheduled Standard Build job for CHECKLIST_VERSION and enabled it for NEXT_VERSION & NEXT+1_VERSION at CL XXXXX. 
That's all! ",,
,Release Candidate Build (Locked in)	,,,,,,,,,
,,IN PROGRESS,,,,,,,,
