Release:,34.10,Release-34.10,,,,,,Update if Needed,,,"1. Click Cell A1
2. Press Ctrl+F > push the 3 dots
3. Find the string ""CHECKLIST_VERSION"" and replace it with the real value
   a. ex. Find: CHECKLIST_VERSION          Replace with 32.00
          ^Checklist dot Version^
4. Select the ""Replace All"" button to swap all instances
4. Repeat steps 3-4 by replacing PREVIOUS_VERSION with 31.40
                                        ^Previous Version^
5. Repeat steps 3-4 by replacing CHECKLIST-VERSION with 32-00 
                                            ^Checklist dash Version^
6. Repeat steps 3-4 by replacing NEXT_VERSION with 32.10
                                             ^Next Version^
7. Repeat steps 3-4 by replacing NEXT_MAJOR_VERSION with 33.00
                                    ^Next Major Version (.00)^

You will know it worked if all red text in this cell/sheet has been updated to the set values"
7/20/2025,TODO,Verify no new client CLs have been introduced between Final Client WhiteGlove and Final Server/MCP WhiteGlove tests.,7/19/2025,TODO,Whiteglove has been completed on FINAL release candidate (aka Cert Checks) and issues called out have been threaded for triage,7/20/2025,TODO,Upload SIEA (07022)  build,,,
7/20/2025,TODO,Confirm with Discovery team that the Analytics Stuff revision has been deployed to Live,7/19/2025,TODO,Confirm Release QA is patched up and ready for the morning,7/20/2025,TODO,Upload SIEE (07669)  build,,,
7/20/2025,TODO,Verify Release Request is accurate,7/20/2025,TODO,"Make sure Disallow List was reviewed
(FN, FNE (Creative+UEFN), JUNO, DelMar, Sparks terms)",7/20/2025,TODO,Upload PS5 shared binary,,,
7/20/2025,TODO,Pre-upload symbols for the following (Within 24 hours of deployment),7/20/2025,TODO,Aegis Prewarm (Final Client and Server CL),7/20/2025,TODO,Upload the Luna Client and send it to certification,,,
,,,7/20/2025,TODO,2nd touchpoint with Calendar owners,7/20/2025,TODO,"Upload XB builds, verify the validator logs, and submit to cert.",,,
,,,7/20/2025,TODO,"Release Strategy Async Post

Example Post: LINK",7/20/2025,TODO,Complete and save final MDT (PS5),,,
,,,,,,7/20/2025,TODO,Update MDT: SIEA,,,
,,,,,,7/20/2025,TODO,Update MDT: SIEE,,,
,,,,,,7/20/2025,TODO,Rapid patch Submission: SIEA (07022) ,,,
,,,,,,7/20/2025,TODO,Rapid patch Submission: SIEE (07669) ,,,
,,,,,,7/20/2025,TODO,Rapid patch Submission: PS5,,,
,,,,,,7/20/2025,TODO,Final Scheduling: Xbox One / XSX,,,
,,,,,,7/20/2025,TODO,Final Scheduling PS5,,,
,,,,,,7/20/2025,TODO,Final Scheduling PS4,,,
,,,,,,7/20/2025,TODO,Upload PS4 Symbols to devnet,,,
,,,,,,7/20/2025,TODO,Upload PS5 Symbols to devnet,,,
,,,,,,7/20/2025,TODO,Upload XB1/XSX crash symbols through Xbox Send,,,
,,,,,,7/20/2025,TODO,Final Scheduling: Switch,,,
,,,,,,7/20/2025,TODO,Submit Build to One Store,,,
,,,,,,7/20/2025,TODO,Upload the Digital Turbine Candidate ,,,
,,,,,,7/20/2025,TODO,Submit Android build to Oppo,,,
,,,,,,7/20/2025,TODO,Confirm with Luna that we're through certification. ,,,
,,,,,,7/20/2025,TODO,Remove Cert Redirects,,,
,,,,,,7/20/2025,TODO,Spindown Cert Servers,,,
,,,,,,7/20/2025,TODO,Live: Update PS4/PS5/XB1/XSX/IOS fake Build Info,,,
,,,,,,7/20/2025,TODO,Live: Update Switch Build Info,,,
,,,,,,7/20/2025,TODO,Live: Update Android Build Info,,,
,,,,,,7/20/2025,TODO,Prep AltStore Stage Source,,,
,,,,,,7/20/2025,TODO,"Schedule Lightswitch Down in Admin Portal
   - Scheduling MUST happen at least 1 hour before the downtime start",,,
,,,,,,7/20/2025,TODO,"Internal Release Email
   Template",,,
,,,,,,7/20/2025,TODO,"External Release Email
    Template",,,
,,,,,,7/20/2025,TODO,"Send ""Release is a GO"" email",,,
