Duplicate crash reports causing MTBF to be misreported on Switch,Resolved,Since June 8th 10 p.m. Nintendo started sending us  thousands of duplicated crash reports with never ending pagination until we reach the REST API usage limit and get Too Many Requests error.,,#sh-06-09-duplicate-crash-reports-causing-mtbf-to-ext,Tyler Buczek,Tech-Console,FORT-920876,,
perforce-useredge-use1 is down,In PIR,"User who using US-EAST-1 Perforce edge server will currently be blocked until we can shut down the service, increase the host memory and restart the service.",Perforce,#sh-06-09-perforce-useredge-use1-is-down-ext,Craig Morrison,,,,
Ballisitic is Hitching in 36.00,Resolved,"Live hitch for Ballistic when entering the bombsite

We have narrowed down the root cause. Looks to be a checkbox that was added relating to user settings. Tracking down the owner of that feature now, and then will work on adding a fix.",36.20 fix CL 43442480,#sh-06-09-ballisitic-is-hitching-in-36-00-ext,Joe Becker,feral,FORT-920984,,
live reports that decor cannot be placed,Resolved,,hotfix,#sh-06-09-live-reports-that-decor-cannot-be-placed-ext,Rhonda Cox,,PLAY-89567,,
AsyncLogin preventing PS users from joining Party Channel,Pending Release,"PlayStation users are not able to join a ""Party Channel"" due to AsyncLogin",36.10 fix CL 43367057,#sh-06-09-asynclogin-preventing-ps-users-from-join-ext,Jordan Allynor,,FORT-921422,,
Stale Art on Crew Shop tile,Resolved,Unsubscribed and Subscribed state of Fortnite Crew still shows last season's art in the Item Shop,CMS,#sh-06-09-stale-art-on-crew-shop-tile-ext,Shania Williams,Passes,,,
Fortnite MM/CCU % Diff,In PIR,In-game CCU for Fortnite reduced by 56% due to a DAD deploy.,DAD Rollback,#sh-06-09-fortnite-mm-ccu-diff-ext,Joe Pintozzi,,,,
"
Slow movement and unable to jump/shoot/interact in multiple FNE experiences",Active,"Multiple reports of players unable to move at full speed, jump, shoot, interact etc. in multiple FNE/UEFN experiences. Very inconsistent repro. Initially thought to be a 36.10 issue, but now seeing reports of this on live 36.00.",tbd,#sh-06-10-slow-movement-and-unable-to-jump-shoot-i-ext,Todd Winchell,FNE / UEFN,FORT-917024,,
"
sprout AI SW2 NCL",Resolved,Switch 2 players in Sprout get an NCL when interacting with AI (chandelier) NPCs.,,#sh-06-10-sprout-ai-sw2-ncl-ext,Sky Martin,Sprout,PLAY-89810,,
Large client crash rate on FNE games,Pending Release,"We are seeing 1,000 client crashes per hour on FNE games since 36.00 went live.
-- Committed to 36.10 in 43414069. Setting this to pending 36.10 release.",36.10 fix CL 43414069,#sh-06-10-large-client-crash-rate-on-fne-games-ext,Todd Winchell,FNE / UEFN,"FORT-920676 
FORT-910698",,
FN - Login issues,In PIR,Seeing large amount of login issues on FN,,#sh-06-10-fn-login-issues-ext,,,,,
Investigation if Enemies can now stun in Odyssey,Pending Release,"Reports from Reddit are suggesting the Stun Lock Mechanic has changed for several of the AI.
-- Fix is submitted to 36.10. We will confirm on that day it is working as expected and close this out.",36.10 fix CL 43402301,#sh-06-10-investigation-if-enemies-can-now-stun-in-ext,Peter Sales,Juno,PLAY-89847,,
"
Damage Amp capped at 4 in 36.00",Pending Release,"Before the 36.00 update the damage amplifier had an “infinite” value it could be set to in verse. Now it is capped at 4.0.
-- Fix has been committed to 36.10 and QA has verified all is well. Shifting to Pending Release. Will do a last verif on 36.10 live day, but otherwise we're good here, thanks all!",36.10 fix CL 43406437,#sh-06-10-damage-amp-capped-at-4-in-36-00-ext,Samantha Ragsdale,FNE / UEFN,FORT-920719,,
[FN] Infinite Bass Wave exploit,Resolved,"FNBR- players able to exploit the Bass Wave primary attack
-- Fix has now been submitted and validated in 36.10, and we're awaiting the release of the patch containing the fix on Tue 17 June.",36.10 fix CL 43416000,#sh-06-10-fn-infinite-bass-wave-exploit-ext,Josh Hood,Gameplay,FORT-922256,,
Missing purchases on iOS,In PIR,Players purchasing the Saint Academy Quest Pack via iOS are missing all content in their accounts,MCP,#sh-06-10-missing-purchases-on-ios-ext,Dashan Yue,,FORT-922315,,
EOS SessionTracker unhealthy,Mitigated,"Customers are unable to create new sessions, so games will fail to start and players can be impacted.
We have no documented customer reports yet, but the usage graphs indicate players are encountering failures and triggering retries.",EOS,#sh-06-10-eos-sessiontracker-unhealthy-ext,Michael Beltran,,,,
Perforce-useredge-london.epicgames.net stopped responding,In PIR,,,#sh-06-11-perforce-useredge-london-epicgames-net-s-ext,,,,,
UEFN install failed,Resolved,Error in uploading manifest. Resolved by reuploading the Manifest,Distro,#sh-06-11-uefn-install-failed-ext,Todd Winchell,,,,
